participant_id,country,iso3,region,age,age_group,sex,time_of_day,n_trials,best_rt_ms,mean_rt_ms,median_rt_ms,worst_rt_ms,sd_rt_ms,lapse_count,data_type
30,Israel,ISR,Asia,38,35-44,female,morning,5,274,287,282,303,11.2,0,synthetic
31,Israel,ISR,Asia,60,55-64,male,evening,5,266,293,279,357,33.0,0,synthetic
32,Israel,ISR,Asia,27,25-34,female,evening,5,214,243,255,263,18.4,0,synthetic
33,Israel,ISR,Asia,26,25-34,male,evening,5,254,264,267,274,7.1,0,synthetic
34,Israel,ISR,Asia,22,18-24,female,afternoon,5,228,259,253,295,22.3,0,synthetic
35,Israel,ISR,Asia,40,35-44,male,evening,5,230,253,260,275,17.0,0,synthetic
36,Israel,ISR,Asia,47,45-54,male,night,5,271,359,305,512,88.1,1,synthetic
37,Israel,ISR,Asia,31,25-34,female,afternoon,5,271,286,290,300,11.0,0,synthetic
38,Israel,ISR,Asia,21,18-24,male,morning,5,233,260,269,274,16.3,0,synthetic
39,Israel,ISR,Asia,22,18-24,male,evening,5,261,408,464,528,116.7,2,synthetic
40,Israel,ISR,Asia,41,35-44,male,afternoon,5,238,291,263,433,72.8,0,synthetic
41,Israel,ISR,Asia,42,35-44,female,evening,5,235,256,259,271,11.8,0,synthetic
42,Israel,ISR,Asia,39,35-44,female,morning,5,284,302,300,329,16.2,0,synthetic
43,Israel,ISR,Asia,24,18-24,unspecified,evening,5,246,344,314,462,90.1,0,synthetic
44,Israel,ISR,Asia,35,35-44,male,afternoon,5,228,261,267,284,21.3,0,synthetic
45,Israel,ISR,Asia,34,25-34,male,afternoon,5,233,251,247,268,13.4,0,synthetic
46,Israel,ISR,Asia,35,35-44,male,evening,5,246,261,254,285,13.8,0,synthetic
47,Israel,ISR,Asia,44,35-44,female,afternoon,5,250,270,272,298,17.4,0,synthetic
48,Israel,ISR,Asia,35,35-44,unspecified,afternoon,5,264,309,295,412,54.3,0,synthetic
49,Israel,ISR,Asia,41,35-44,female,afternoon,5,247,314,263,527,107.5,1,synthetic
50,Israel,ISR,Asia,33,25-34,female,morning,5,251,305,290,428,63.2,0,synthetic
51,Israel,ISR,Asia,36,35-44,male,morning,5,268,337,290,456,77.1,0,synthetic
52,Israel,ISR,Asia,41,35-44,female,morning,5,265,278,272,297,12.2,0,synthetic
53,Israel,ISR,Asia,13,10-17,male,morning,5,241,258,257,284,16.7,0,synthetic
54,Israel,ISR,Asia,28,25-34,male,evening,5,253,282,268,324,27.7,0,synthetic
55,Israel,ISR,Asia,26,25-34,male,afternoon,5,222,255,255,279,22.1,0,synthetic
56,Israel,ISR,Asia,24,18-24,male,morning,5,237,250,251,262,9.4,0,synthetic
57,Israel,ISR,Asia,29,25-34,male,afternoon,5,227,239,240,247,7.2,0,synthetic
58,Israel,ISR,Asia,52,45-54,male,afternoon,5,257,264,264,271,4.9,0,synthetic
59,Israel,ISR,Asia,21,18-24,male,afternoon,5,259,274,276,293,12.3,0,synthetic
60,Israel,ISR,Asia,45,45-54,female,evening,5,239,292,280,363,40.6,0,synthetic
61,Israel,ISR,Asia,10,10-17,male,evening,5,256,308,279,430,63.0,0,synthetic
62,Israel,ISR,Asia,28,25-34,male,afternoon,5,216,241,246,273,21.7,0,synthetic
63,Israel,ISR,Asia,34,25-34,female,morning,5,257,275,273,305,17.0,0,synthetic
64,Israel,ISR,Asia,40,35-44,female,afternoon,5,235,254,257,267,10.9,0,synthetic
65,Israel,ISR,Asia,42,35-44,female,afternoon,5,235,262,270,276,14.7,0,synthetic
66,Israel,ISR,Asia,43,35-44,male,afternoon,5,185,249,234,349,54.0,0,synthetic
67,Israel,ISR,Asia,28,25-34,female,afternoon,5,240,258,259,273,10.6,0,synthetic
68,Israel,ISR,Asia,26,25-34,male,afternoon,5,216,237,238,254,12.2,0,synthetic
69,Israel,ISR,Asia,43,35-44,male,morning,5,230,286,265,399,59.1,0,synthetic
70,Israel,ISR,Asia,30,25-34,female,morning,5,252,319,271,506,95.5,1,synthetic
71,Israel,ISR,Asia,16,10-17,female,morning,5,241,298,257,484,93.4,0,synthetic
72,Israel,ISR,Asia,18,18-24,female,night,5,268,293,281,329,22.9,0,synthetic
73,Israel,ISR,Asia,20,18-24,female,morning,5,230,255,247,280,18.7,0,synthetic
74,Israel,ISR,Asia,39,35-44,female,evening,5,275,292,297,305,11.9,0,synthetic
75,Israel,ISR,Asia,34,25-34,male,afternoon,5,230,258,261,279,16.2,0,synthetic
76,Israel,ISR,Asia,41,35-44,male,morning,5,234,307,269,501,97.7,1,synthetic
77,Israel,ISR,Asia,27,25-34,male,afternoon,5,218,253,238,306,30.4,0,synthetic
78,Israel,ISR,Asia,34,25-34,male,evening,5,241,303,289,393,49.9,0,synthetic
79,Israel,ISR,Asia,40,35-44,female,morning,5,271,369,289,516,111.9,1,synthetic
80,Israel,ISR,Asia,28,25-34,male,evening,5,222,248,249,288,22.4,0,synthetic
81,Israel,ISR,Asia,38,35-44,female,evening,5,271,293,292,310,13.2,0,synthetic
82,Israel,ISR,Asia,24,18-24,female,afternoon,5,235,242,244,247,4.8,0,synthetic
83,Israel,ISR,Asia,28,25-34,female,afternoon,5,268,328,297,497,85.5,0,synthetic
84,Israel,ISR,Asia,27,25-34,male,night,5,268,282,289,291,9.6,0,synthetic
85,Israel,ISR,Asia,17,10-17,male,evening,5,249,311,282,490,90.8,0,synthetic
86,Israel,ISR,Asia,39,35-44,unspecified,afternoon,5,230,260,266,295,23.3,0,synthetic
87,Israel,ISR,Asia,26,25-34,female,evening,5,253,257,257,264,3.9,0,synthetic
88,Israel,ISR,Asia,32,25-34,female,afternoon,5,244,317,286,412,59.7,0,synthetic
89,Israel,ISR,Asia,39,35-44,female,night,5,254,284,287,323,24.2,0,synthetic
90,Israel,ISR,Asia,38,35-44,female,night,5,286,345,323,460,59.8,0,synthetic
91,Israel,ISR,Asia,41,35-44,male,afternoon,5,251,316,278,510,98.0,1,synthetic
92,Israel,ISR,Asia,31,25-34,female,afternoon,5,253,262,259,277,8.2,0,synthetic
93,Israel,ISR,Asia,27,25-34,male,night,5,248,289,273,390,51.5,0,synthetic
94,Israel,ISR,Asia,31,25-34,female,evening,5,237,254,245,273,14.7,0,synthetic
95,Israel,ISR,Asia,10,10-17,female,evening,5,274,297,294,315,15.7,0,synthetic
96,Israel,ISR,Asia,14,10-17,male,afternoon,5,225,240,235,270,15.5,0,synthetic
97,Israel,ISR,Asia,15,10-17,male,afternoon,5,242,270,255,324,29.8,0,synthetic
98,Israel,ISR,Asia,19,18-24,male,night,5,268,296,300,318,16.3,0,synthetic
99,Israel,ISR,Asia,38,35-44,female,evening,5,258,273,273,294,13.6,0,synthetic
100,Israel,ISR,Asia,21,18-24,male,morning,5,211,258,225,393,68.3,0,synthetic
101,Israel,ISR,Asia,27,25-34,male,evening,5,266,313,279,465,76.6,0,synthetic
102,Israel,ISR,Asia,49,45-54,male,morning,5,283,326,292,474,74.5,0,synthetic
103,Israel,ISR,Asia,28,25-34,male,afternoon,5,230,238,232,252,8.3,0,synthetic
104,Israel,ISR,Asia,42,35-44,male,morning,5,245,266,268,284,15.7,0,synthetic
105,Israel,ISR,Asia,20,18-24,male,morning,5,205,234,221,273,24.1,0,synthetic
106,Israel,ISR,Asia,30,25-34,male,evening,5,240,264,262,282,13.9,0,synthetic
107,Israel,ISR,Asia,20,18-24,male,afternoon,5,197,247,244,297,34.4,0,synthetic
108,Israel,ISR,Asia,28,25-34,male,afternoon,5,269,317,285,462,72.8,0,synthetic
109,Israel,ISR,Asia,43,35-44,male,evening,5,227,239,238,254,8.6,0,synthetic
110,Israel,ISR,Asia,10,10-17,male,evening,5,272,349,302,491,81.5,0,synthetic
111,Israel,ISR,Asia,38,35-44,female,evening,5,274,293,303,308,15.8,0,synthetic
112,Israel,ISR,Asia,35,35-44,male,morning,5,201,235,236,276,25.2,0,synthetic
113,Israel,ISR,Asia,25,25-34,male,afternoon,5,232,291,264,354,50.1,0,synthetic
114,Israel,ISR,Asia,14,10-17,male,evening,5,249,278,258,354,39.2,0,synthetic
115,Israel,ISR,Asia,33,25-34,male,morning,5,210,284,268,372,61.2,0,synthetic
116,Israel,ISR,Asia,25,25-34,male,morning,5,248,282,256,374,47.5,0,synthetic
117,Israel,ISR,Asia,35,35-44,male,evening,5,220,261,244,360,50.6,0,synthetic
118,Israel,ISR,Asia,33,25-34,female,afternoon,5,240,311,294,449,72.5,0,synthetic
119,Israel,ISR,Asia,53,45-54,male,afternoon,5,257,270,267,286,9.4,0,synthetic
120,Israel,ISR,Asia,29,25-34,male,evening,5,231,249,243,286,20.0,0,synthetic
121,Israel,ISR,Asia,19,18-24,male,afternoon,5,221,252,243,303,27.4,0,synthetic
122,Israel,ISR,Asia,35,35-44,male,afternoon,5,259,278,271,296,13.9,0,synthetic
123,Israel,ISR,Asia,35,35-44,male,morning,5,258,355,310,478,96.1,0,synthetic
124,Israel,ISR,Asia,50,45-54,female,afternoon,5,256,334,320,451,71.1,0,synthetic
125,Israel,ISR,Asia,43,35-44,female,morning,5,257,292,297,320,22.0,0,synthetic
126,Israel,ISR,Asia,37,35-44,male,evening,5,214,246,245,269,19.2,0,synthetic
127,Israel,ISR,Asia,51,45-54,male,evening,5,271,304,296,360,33.5,0,synthetic
128,Israel,ISR,Asia,17,10-17,male,morning,5,225,255,252,281,18.9,0,synthetic
129,Israel,ISR,Asia,24,18-24,male,morning,5,225,246,244,274,17.1,0,synthetic
130,Israel,ISR,Asia,20,18-24,female,evening,5,249,329,328,439,66.7,0,synthetic
131,Israel,ISR,Asia,27,25-34,male,night,5,235,260,264,277,14.1,0,synthetic
132,Israel,ISR,Asia,14,10-17,male,afternoon,5,254,268,268,278,7.8,0,synthetic
133,Israel,ISR,Asia,41,35-44,female,afternoon,5,260,276,274,299,13.2,0,synthetic
134,Israel,ISR,Asia,29,25-34,male,afternoon,5,209,226,225,241,10.6,0,synthetic
135,Israel,ISR,Asia,13,10-17,male,morning,5,270,313,285,432,60.1,0,synthetic
136,Israel,ISR,Asia,19,18-24,female,afternoon,5,205,214,217,220,5.2,0,synthetic
137,Israel,ISR,Asia,36,35-44,male,morning,5,247,266,256,297,17.8,0,synthetic
138,Israel,ISR,Asia,43,35-44,male,afternoon,5,258,278,278,311,18.9,0,synthetic
139,Israel,ISR,Asia,58,55-64,male,night,5,269,302,311,320,18.0,0,synthetic
140,Israel,ISR,Asia,70,65+,female,afternoon,5,270,353,285,633,140.3,1,synthetic
141,Israel,ISR,Asia,38,35-44,male,afternoon,5,234,257,235,335,39.3,0,synthetic
142,Israel,ISR,Asia,19,18-24,male,morning,5,248,268,272,286,15.4,0,synthetic
143,Israel,ISR,Asia,10,10-17,male,morning,5,250,274,281,297,18.9,0,synthetic
144,Israel,ISR,Asia,36,35-44,male,morning,5,253,281,284,310,21.2,0,synthetic
145,Israel,ISR,Asia,22,18-24,female,morning,5,245,264,262,283,14.0,0,synthetic
146,Israel,ISR,Asia,27,25-34,male,night,5,229,295,253,502,103.7,1,synthetic
147,Israel,ISR,Asia,24,18-24,female,evening,5,263,297,281,389,47.0,0,synthetic
148,Israel,ISR,Asia,30,25-34,female,afternoon,5,226,257,246,318,32.5,0,synthetic
149,Israel,ISR,Asia,46,45-54,female,evening,5,297,301,300,306,3.4,0,synthetic
150,Israel,ISR,Asia,34,25-34,male,evening,5,257,272,277,280,8.4,0,synthetic
151,Israel,ISR,Asia,30,25-34,female,night,5,247,292,260,436,72.2,0,synthetic
152,Israel,ISR,Asia,19,18-24,female,afternoon,5,237,354,280,498,114.7,0,synthetic
153,Israel,ISR,Asia,11,10-17,male,evening,5,269,363,328,474,89.6,0,synthetic
154,Israel,ISR,Asia,26,25-34,female,afternoon,5,272,284,279,307,12.9,0,synthetic
155,Israel,ISR,Asia,32,25-34,female,afternoon,5,230,281,254,341,47.8,0,synthetic
156,Israel,ISR,Asia,55,55-64,male,afternoon,5,269,294,283,344,25.9,0,synthetic
157,Israel,ISR,Asia,34,25-34,female,night,5,270,286,292,294,9.0,0,synthetic
158,Israel,ISR,Asia,45,45-54,male,afternoon,5,228,237,233,255,9.5,0,synthetic
159,Israel,ISR,Asia,26,25-34,female,evening,5,259,271,273,278,6.5,0,synthetic
160,Israel,ISR,Asia,17,10-17,unspecified,evening,5,227,280,265,378,51.3,0,synthetic
161,Israel,ISR,Asia,20,18-24,male,night,5,225,245,239,265,15.6,0,synthetic
162,Israel,ISR,Asia,23,18-24,female,afternoon,5,235,242,242,253,7.0,0,synthetic
163,Israel,ISR,Asia,60,55-64,male,morning,5,250,263,260,277,10.6,0,synthetic
164,Israel,ISR,Asia,22,18-24,female,evening,5,217,241,237,260,16.3,0,synthetic
165,Israel,ISR,Asia,43,35-44,female,night,5,276,293,294,307,12.8,0,synthetic
166,Israel,ISR,Asia,21,18-24,male,evening,5,225,239,241,254,10.2,0,synthetic
167,Israel,ISR,Asia,44,35-44,male,evening,5,242,263,262,279,12.7,0,synthetic
168,Israel,ISR,Asia,37,35-44,male,morning,5,226,263,268,290,21.0,0,synthetic
169,Israel,ISR,Asia,30,25-34,male,night,5,225,252,260,284,22.3,0,synthetic
170,Israel,ISR,Asia,32,25-34,male,evening,5,258,275,273,295,12.8,0,synthetic
171,Israel,ISR,Asia,24,18-24,male,morning,5,234,255,245,281,17.3,0,synthetic
172,Israel,ISR,Asia,38,35-44,male,afternoon,5,239,267,273,279,14.6,0,synthetic
173,Israel,ISR,Asia,26,25-34,male,evening,5,220,283,244,458,88.0,0,synthetic
174,Israel,ISR,Asia,16,10-17,female,afternoon,5,235,257,263,275,14.7,0,synthetic
175,Israel,ISR,Asia,16,10-17,female,afternoon,5,245,271,269,291,16.8,0,synthetic
176,Israel,ISR,Asia,35,35-44,female,afternoon,5,237,253,246,282,16.3,0,synthetic
177,Israel,ISR,Asia,53,45-54,male,night,5,284,305,305,332,16.3,0,synthetic
178,Israel,ISR,Asia,34,25-34,female,evening,5,208,245,252,265,19.7,0,synthetic
179,Israel,ISR,Asia,31,25-34,female,morning,5,229,275,260,343,38.3,0,synthetic
180,Israel,ISR,Asia,36,35-44,male,morning,5,215,241,239,270,18.0,0,synthetic
181,Israel,ISR,Asia,49,45-54,male,morning,5,261,328,298,507,91.6,1,synthetic
182,Israel,ISR,Asia,35,35-44,female,evening,5,240,262,258,284,18.2,0,synthetic
183,Israel,ISR,Asia,27,25-34,male,night,5,253,262,260,274,7.9,0,synthetic
184,Israel,ISR,Asia,47,45-54,male,evening,5,262,335,273,441,81.9,0,synthetic
185,Israel,ISR,Asia,38,35-44,unspecified,afternoon,5,263,280,270,308,16.7,0,synthetic
186,Israel,ISR,Asia,52,45-54,male,evening,5,267,287,294,298,11.9,0,synthetic
187,Israel,ISR,Asia,35,35-44,male,evening,5,256,269,267,284,10.3,0,synthetic
188,Israel,ISR,Asia,16,10-17,unspecified,evening,5,257,276,283,289,12.4,0,synthetic
189,Israel,ISR,Asia,15,10-17,female,evening,5,245,273,276,290,16.4,0,synthetic
190,Israel,ISR,Asia,54,45-54,male,morning,5,278,290,291,300,7.8,0,synthetic
191,Israel,ISR,Asia,55,55-64,female,evening,5,259,285,293,294,13.3,0,synthetic
192,Israel,ISR,Asia,30,25-34,female,afternoon,5,228,248,252,266,13.2,0,synthetic
193,Israel,ISR,Asia,27,25-34,female,afternoon,5,234,266,275,291,19.6,0,synthetic
194,Israel,ISR,Asia,51,45-54,female,evening,5,293,329,313,414,43.3,0,synthetic
195,Israel,ISR,Asia,18,18-24,male,evening,5,230,245,246,260,10.3,0,synthetic
196,Israel,ISR,Asia,21,18-24,male,afternoon,5,210,274,247,421,75.1,0,synthetic
197,Israel,ISR,Asia,41,35-44,female,afternoon,5,206,238,246,255,17.9,0,synthetic
198,Israel,ISR,Asia,27,25-34,male,afternoon,5,229,258,254,302,24.0,0,synthetic
199,Israel,ISR,Asia,32,25-34,female,afternoon,5,254,268,271,281,11.3,0,synthetic
200,Israel,ISR,Asia,30,25-34,female,morning,5,261,324,267,457,77.2,0,synthetic
201,Israel,ISR,Asia,37,35-44,male,afternoon,5,246,264,262,292,15.2,0,synthetic
202,Israel,ISR,Asia,51,45-54,female,night,5,266,286,285,302,11.8,0,synthetic
203,Israel,ISR,Asia,33,25-34,male,night,5,240,258,257,282,13.6,0,synthetic
204,Israel,ISR,Asia,41,35-44,female,evening,5,258,320,270,521,101.0,1,synthetic
205,Israel,ISR,Asia,10,10-17,male,afternoon,5,259,334,291,472,76.6,0,synthetic
206,Israel,ISR,Asia,32,25-34,female,evening,5,244,273,276,297,17.3,0,synthetic
207,Israel,ISR,Asia,21,18-24,female,afternoon,5,222,242,242,264,16.3,0,synthetic
208,Israel,ISR,Asia,16,10-17,male,night,5,267,297,268,393,48.8,0,synthetic
209,Israel,ISR,Asia,21,18-24,female,morning,5,237,314,255,551,119.0,1,synthetic
210,Israel,ISR,Asia,28,25-34,female,morning,5,256,263,258,283,10.2,0,synthetic
211,Israel,ISR,Asia,44,35-44,female,evening,5,257,279,279,311,19.3,0,synthetic
212,Israel,ISR,Asia,15,10-17,female,morning,5,271,288,284,317,16.1,0,synthetic
213,Israel,ISR,Asia,33,25-34,unspecified,afternoon,5,254,271,262,297,15.5,0,synthetic
214,Israel,ISR,Asia,26,25-34,male,evening,5,258,267,262,286,9.9,0,synthetic
215,Israel,ISR,Asia,28,25-34,male,evening,5,230,270,271,293,21.8,0,synthetic
216,Israel,ISR,Asia,45,45-54,male,morning,5,258,301,277,413,56.8,0,synthetic
217,Israel,ISR,Asia,39,35-44,female,night,5,264,277,266,299,14.9,0,synthetic
218,Israel,ISR,Asia,50,45-54,female,morning,5,250,330,310,459,69.2,0,synthetic
219,Israel,ISR,Asia,30,25-34,male,night,5,234,275,272,349,41.2,0,synthetic
220,Israel,ISR,Asia,23,18-24,male,morning,5,241,278,280,300,20.1,0,synthetic
221,Israel,ISR,Asia,29,25-34,female,afternoon,5,271,295,273,382,43.7,0,synthetic
222,Israel,ISR,Asia,35,35-44,male,evening,5,250,261,259,273,8.4,0,synthetic
223,Israel,ISR,Asia,35,35-44,female,afternoon,5,248,303,265,452,76.5,0,synthetic
224,Israel,ISR,Asia,18,18-24,male,afternoon,5,252,291,274,386,48.2,0,synthetic
225,Israel,ISR,Asia,33,25-34,female,morning,5,230,270,255,344,39.4,0,synthetic
226,Israel,ISR,Asia,35,35-44,male,evening,5,257,281,283,305,15.9,0,synthetic
227,Israel,ISR,Asia,65,65+,male,afternoon,5,283,319,303,395,39.4,0,synthetic
228,Israel,ISR,Asia,57,55-64,female,evening,5,281,366,359,515,82.7,1,synthetic
229,Israel,ISR,Asia,21,18-24,female,evening,5,253,269,269,282,10.0,0,synthetic
230,Israel,ISR,Asia,29,25-34,male,morning,5,235,259,261,291,20.6,0,synthetic
231,Israel,ISR,Asia,13,10-17,male,night,5,266,282,278,298,11.6,0,synthetic
232,Israel,ISR,Asia,25,25-34,female,morning,5,261,283,279,302,16.3,0,synthetic
233,Israel,ISR,Asia,36,35-44,female,afternoon,5,269,275,276,281,4.8,0,synthetic
234,Israel,ISR,Asia,48,45-54,male,evening,5,261,308,293,418,57.9,0,synthetic
235,Israel,ISR,Asia,23,18-24,male,morning,5,242,266,259,291,20.1,0,synthetic
236,Israel,ISR,Asia,24,18-24,female,evening,5,253,267,264,278,9.1,0,synthetic
237,Israel,ISR,Asia,10,10-17,female,afternoon,5,290,330,306,443,57.0,0,synthetic
238,Israel,ISR,Asia,30,25-34,female,morning,5,237,268,271,289,16.9,0,synthetic
239,Israel,ISR,Asia,19,18-24,female,morning,5,263,278,281,288,9.4,0,synthetic
240,Israel,ISR,Asia,25,25-34,male,afternoon,5,220,246,257,264,17.9,0,synthetic
241,Israel,ISR,Asia,21,18-24,female,afternoon,5,259,271,265,297,13.7,0,synthetic
242,Israel,ISR,Asia,31,25-34,female,afternoon,5,234,252,243,289,20.0,0,synthetic
243,Israel,ISR,Asia,10,10-17,female,morning,5,294,312,309,333,14.8,0,synthetic
244,Israel,ISR,Asia,13,10-17,male,evening,5,242,315,299,452,73.1,0,synthetic
245,Israel,ISR,Asia,60,55-64,male,morning,5,249,287,291,317,23.3,0,synthetic
246,Israel,ISR,Asia,16,10-17,female,evening,5,228,280,272,330,37.0,0,synthetic
247,Israel,ISR,Asia,18,18-24,male,morning,5,251,310,277,431,67.7,0,synthetic
248,Israel,ISR,Asia,56,55-64,unspecified,morning,5,245,316,264,430,76.6,0,synthetic
249,Israel,ISR,Asia,70,65+,male,afternoon,5,292,318,314,348,18.9,0,synthetic
250,Israel,ISR,Asia,17,10-17,female,afternoon,5,243,333,282,573,121.1,1,synthetic
251,Israel,ISR,Asia,28,25-34,female,afternoon,5,264,308,274,439,66.1,0,synthetic
252,Israel,ISR,Asia,37,35-44,male,afternoon,5,226,245,245,274,18.1,0,synthetic
253,Israel,ISR,Asia,55,55-64,male,evening,5,265,289,288,323,18.9,0,synthetic
254,Israel,ISR,Asia,19,18-24,female,afternoon,5,231,261,258,283,19.8,0,synthetic
255,Israel,ISR,Asia,29,25-34,female,afternoon,5,267,293,277,361,34.2,0,synthetic
256,Israel,ISR,Asia,42,35-44,male,afternoon,5,252,273,269,303,16.9,0,synthetic
257,Israel,ISR,Asia,38,35-44,female,night,5,272,280,280,287,5.5,0,synthetic
258,Israel,ISR,Asia,27,25-34,female,afternoon,5,240,256,252,274,14.2,0,synthetic
259,Israel,ISR,Asia,31,25-34,male,morning,5,210,239,253,255,19.5,0,synthetic
260,Israel,ISR,Asia,14,10-17,male,afternoon,5,248,270,268,302,19.2,0,synthetic
261,Israel,ISR,Asia,29,25-34,male,night,5,260,274,271,289,10.3,0,synthetic
262,Israel,ISR,Asia,29,25-34,male,evening,5,244,278,274,313,22.8,0,synthetic
263,Israel,ISR,Asia,35,35-44,male,afternoon,5,242,296,276,417,63.0,0,synthetic
264,Israel,ISR,Asia,25,25-34,male,evening,5,225,268,233,422,77.0,0,synthetic
265,Israel,ISR,Asia,38,35-44,female,afternoon,5,234,243,237,260,9.8,0,synthetic
266,Israel,ISR,Asia,45,45-54,male,night,5,265,299,266,431,65.9,0,synthetic
267,Israel,ISR,Asia,34,25-34,female,evening,5,266,281,281,292,9.1,0,synthetic
268,Israel,ISR,Asia,37,35-44,male,afternoon,5,246,289,270,392,52.1,0,synthetic
269,Israel,ISR,Asia,33,25-34,male,evening,5,260,271,274,279,7.9,0,synthetic
270,Israel,ISR,Asia,32,25-34,female,afternoon,5,253,259,254,274,7.9,0,synthetic
271,Israel,ISR,Asia,23,18-24,female,afternoon,5,255,322,280,485,84.6,0,synthetic
272,Israel,ISR,Asia,36,35-44,male,evening,5,239,269,240,353,44.1,0,synthetic
273,Israel,ISR,Asia,31,25-34,male,afternoon,5,235,263,252,316,30.3,0,synthetic
274,Israel,ISR,Asia,60,55-64,male,morning,5,294,387,318,664,139.8,1,synthetic
275,Israel,ISR,Asia,53,45-54,female,afternoon,5,284,325,286,471,73.1,0,synthetic
276,Israel,ISR,Asia,37,35-44,male,afternoon,5,231,251,254,270,13.9,0,synthetic
277,Israel,ISR,Asia,22,18-24,male,evening,5,242,299,256,482,92.0,0,synthetic
278,Israel,ISR,Asia,18,18-24,male,morning,5,245,275,253,368,46.8,0,synthetic
279,Israel,ISR,Asia,48,45-54,male,afternoon,5,235,260,267,279,15.4,0,synthetic
280,Israel,ISR,Asia,36,35-44,female,evening,5,226,248,244,269,14.5,0,synthetic
281,Israel,ISR,Asia,39,35-44,female,afternoon,5,217,253,257,283,24.8,0,synthetic
282,Israel,ISR,Asia,10,10-17,male,evening,5,289,310,305,343,18.0,0,synthetic
283,Israel,ISR,Asia,44,35-44,male,afternoon,5,239,265,259,293,18.8,0,synthetic
284,Israel,ISR,Asia,38,35-44,male,morning,5,236,259,263,281,15.5,0,synthetic
285,Israel,ISR,Asia,18,18-24,male,evening,5,244,257,253,275,10.7,0,synthetic
286,Israel,ISR,Asia,26,25-34,female,morning,5,215,264,260,330,37.6,0,synthetic
287,Israel,ISR,Asia,36,35-44,female,morning,5,273,284,278,303,10.8,0,synthetic
288,Israel,ISR,Asia,33,25-34,female,afternoon,5,250,265,262,291,14.0,0,synthetic
289,Israel,ISR,Asia,29,25-34,unspecified,evening,5,264,275,268,292,11.6,0,synthetic
290,Israel,ISR,Asia,31,25-34,unspecified,evening,5,242,262,266,277,11.9,0,synthetic
291,Israel,ISR,Asia,29,25-34,female,morning,5,244,268,259,300,22.3,0,synthetic
292,Israel,ISR,Asia,34,25-34,male,morning,5,212,236,239,252,13.1,0,synthetic
293,Israel,ISR,Asia,51,45-54,male,evening,5,230,257,256,288,18.6,0,synthetic
294,Israel,ISR,Asia,10,10-17,male,morning,5,242,310,300,404,56.1,0,synthetic
295,Israel,ISR,Asia,29,25-34,female,morning,5,242,260,260,277,12.1,0,synthetic
296,Israel,ISR,Asia,35,35-44,male,morning,5,210,318,244,500,116.3,0,synthetic
